SP4$,N_SEEDFULL
PYAC,1.96
PYB2,3.5
PYC2,1.76
PYCH,1.645714286
PYDE,1.88
PYEM,1.8
PYFU,1.8
PYG2,1.84
PYG3,1.8
PYHO,1.32
PYIP,1.88
PYLI,1.8
PYMA,1.52
PYMI,1.86
PYPI,1.4
PYPO,NA
PYPS,2
PYPU,NA
PYRA,2.92
PYSU,1.466666667
QUA1,1.582857143
QUA2,1
QUAP,2.34
RANA,36.8
RANF,16.25
RENA,36.08
RENC,16.5
RHEA,1.755555556
RHEE,1.72
RHYP,1.5
RIN1,2.214583333
ROUM,NA
SAPG,2.45
SCHM,2
SECD,NA
SENH,87
SENU,17.57777778
SER1,NA
SER2,NA
SER3,1
SERA,NA
SERD,NA
SERM,1
SERR,3.2
SERT,1
SHES,2.466666667
SIMA,1
SIPG,4.68
SLOM,1.2
SLOT,1
SMIM,1.533333333
SMIP,1.5
SMIS,1.68
SOCE,1.2
SOL5,195.7866667
SOLH,262
SORA,1
SOUS,6.4
SPAM,1.44
SPOM,1
SPOR,1
STEA,5.78
STEG,72.88888889
STIH,2.2
STIL,1
STIR,3.8
STRD,2.25
STRJ,1
STRP,14.05
STRS,1
STRT,22
STYS,1
SWA1,NA
SWA2,1.08
SYMG,1.15
SYNP,23
SYNW,1
SYZJ,1
TABA,33.875
TABG,NA
TABR,85.25
TACV,1
TALN,1.32
TALP,1
TAPG,1
TERA,NA
TERO,1
TET1,1
TET2,4.361587302
TETD,NA
TETH,3.2
TETJ,NA
TETM,2.08
THEA,3.16
THEC,39.2
THIM,1.36
TOCP,57.95833333
TONL,3.8
TONO,5.775
TOPP,19.4
TOUH,NA
TOVC,1
TOVN,1.16
TOVS,3.125
TRAA,1
TREM,1
TRI1,1.506666667
TRI2,1.05
TRI3,1.7
TRI6,12.50666667
TRIC,1
TRIH,2.76
TRIO,1
TURO,4
TYNC,26.4
UNOP,1
URLO,4.45
VERP,20.48
VIR1,1
VIR2,1
VIR3,1
VIRE,1
VISM,36.8
VITT,2.32
VOCF,1.7
WELR,1
WULB,39
XYLC,4.3
XYLF,1.666666667
XYLM,6.857954545
XYLO,1.8
ZAN1,1
ZAN2,1
ZANB,NA
ZANJ,NA
ZANS,NA
ZUEG,36.71428571
ZYG2,7.55
ZYZJ,1.083333333
